va,vb,exp,sim,sign_error,exp_error,man_error
22b9,800a,22b9,22b5,False,0,4
9820,06b5,97d5,97d4,False,0,1
8297,17ba,1791,1785,False,0,12
d0ff,58e6,574c,574d,False,0,-1
08e4,8559,046f,0638,False,0,-457
0074,a77c,a77c,a77a,False,0,2
11ce,8fb9,0bc6,0be3,False,0,-29
9c87,16c7,99aa,99ab,False,0,-1
0088,8a63,8a1f,8941,False,0,222
886c,8165,891e,89c5,False,0,-167
9eb8,83d2,9ec7,9ec8,False,0,-1
f588,fa66,fc00,fc95,False,0,-149
fbee,eefa,fc00,fc67,False,0,-103
23a4,004b,23a5,23a8,False,0,-3
0118,9788,9776,975f,False,0,23
143a,a40f,a397,a396,False,0,1
b80e,3127,b588,b589,False,0,-1
1547,80c0,153b,1521,False,0,26
a5dc,00c0,a5db,a5da,False,0,1
7b38,75a7,7c00,7d06,False,0,-262
05fb,855f,009c,00e0,False,0,-68
a0d2,81b0,a0d5,a0d8,False,0,-3
ada8,8040,ada8,ada9,False,0,-1
78c5,7a46,7c00,7d86,False,0,-390
8060,0dd2,0dba,0d46,False,0,116
9ddc,833a,9de9,9dea,False,0,-1
ec00,3146,ec00,e800,False,1,0
0063,24fc,24fc,24fe,False,0,-2
82e4,1d9e,1d92,1d90,False,0,2
9a5b,1b50,0fa8,0fd4,False,0,-44
9952,028b,993e,9938,False,0,6
fbea,eacc,fc00,fc2b,False,0,-43
f01c,6b7f,ec78,ec79,False,0,-1
1278,92d9,8308,8030,False,0,728
826f,1d50,1d46,1d43,False,0,3
a578,8376,a57b,a57c,False,0,-1
8376,8678,88f7,891a,False,0,-35
3dbf,c46d,c1fa,c1fb,False,0,-1
1199,8294,1146,1130,False,0,22
8992,03ff,8725,8792,False,0,-109
b884,304b,b6e2,b6e3,False,0,-1
14a8,959a,8b90,89e4,False,0,428
090f,8258,07c6,0779,False,0,77
02f8,9643,9614,960b,False,0,9
0355,9c20,9c13,9c11,False,0,2
1474,88d5,13b3,13b2,False,0,1
00ba,95de,95d2,95b8,False,0,26
e028,560d,decd,decc,False,0,1
8ae9,0c1b,029a,0053,False,0,583
4570,dc11,dbf6,dbf7,False,0,-1
6fc5,7b07,7c00,7800,False,1,0
0038,8eac,8e9e,8e25,False,0,121
a5e0,01ec,a5de,a5dd,False,0,1
d366,5c30,5a86,5a87,False,0,-1
47b3,cd0e,ca42,ca43,False,0,-1
85f3,062a,0037,02e0,False,0,-681
0825,876e,00dc,02e0,False,0,-516
ad33,2d44,1440,1510,False,0,-208
268e,0161,268f,2691,False,0,-2
815e,21bb,21b8,21b6,False,0,2
5767,dd8f,db6a,db6b,False,0,-1
9911,0181,9905,98fb,False,0,10
14b4,954e,88d0,8934,False,0,-100
026e,8c17,8af7,8a93,False,0,100
98c2,8133,98cc,98d7,False,0,-11
0fc4,8de8,0770,05dc,False,0,404
04de,88f6,850e,8687,False,0,-377
f07f,fb9d,fc00,fc5e,False,0,-94
07a4,8aeb,8632,8719,False,0,-231
2476,b036,af4e,af4f,False,0,-1
b260,3255,9580,94b0,False,0,208
205a,987f,1e74,1e75,False,0,-1
8008,a94f,a94f,a950,False,0,-1
8060,1ed5,1ed4,1ecc,False,0,8
8eaf,801a,8eb6,8f32,False,0,-124
85e3,033f,82a4,8122,False,0,386
2879,a02b,26dc,26dd,False,0,-1
0211,0800,0908,0984,False,0,-124
02f4,19c2,19da,19de,False,0,-4
96ac,00d0,969f,9686,False,0,25
8971,83ff,8b70,8b71,False,0,-1
8a68,0cc0,0630,058c,False,0,164
90cc,0fae,87a8,84f5,False,0,691
8d0b,0281,8c6b,8c3b,False,0,48
02d8,2916,2917,2918,False,0,-1
7a86,74d3,7c00,7c78,False,0,-120
2a73,aaa7,9680,9740,False,0,-192
16ea,0347,171e,1724,False,0,-6
a48f,2cd0,2b58,2b59,False,0,-1
1550,8164,153a,1525,False,0,21
0242,a1f1,a1ec,a1eb,False,0,1
8c47,834c,8d1a,8d30,False,0,-22
0c2c,8da0,85d0,8574,False,0,92
155c,8336,1529,1522,False,0,7
274c,0028,274c,274e,False,0,-2
00ce,8704,8636,849d,False,0,409
3bbc,283c,3c00,3800,False,1,0
01a4,1599,15b3,15c6,False,0,-19
86c7,02ef,83d8,81a8,False,0,560
02d3,9ef7,9eec,9ee9,False,0,3
123f,80b8,1228,11f4,False,0,52
1417,0028,141a,1438,False,0,-30
1df3,a510,a326,a327,False,0,-1
011a,2df7,2df7,2df8,False,0,-1
001c,9a3e,9a3d,9a2e,False,0,15
0b61,8afb,00cc,0260,False,0,-404
0874,8ae8,84e8,8674,False,0,-396
8858,01de,86d2,86e0,False,0,-14
1c64,96d7,195c,195d,False,0,-1
1599,82d2,156c,1562,False,0,10
8000,114f,114f,110f,False,0,64
