va,vb,exp,sim,sign_error,exp_error,man_error
4050,9259,96d8,96d7,False,0,1
4100,f81e,fc00,fd25,False,0,-293
61b5,ce65,f490,f48f,False,0,1
86bd,57b7,a280,a27f,False,0,1
45ed,9e8e,a8db,a8da,False,0,1
b4c3,9ed6,1812,1811,False,0,1
1074,50f5,2585,2584,False,0,1
b493,eb44,6428,6427,False,0,1
8c30,a1dd,0031,0000,False,0,49
1b26,8572,8005,8000,False,0,5
9d8c,72db,d4c1,d4c0,False,0,1
e200,d9aa,7c00,003f,False,31,-63
9820,06b5,8003,8000,False,0,3
7680,bb91,f626,f625,False,0,1
43fc,9a85,a282,a281,False,0,1
a065,a180,060b,060a,False,0,1
87be,1a13,8006,8000,False,0,6
8add,2180,8026,8000,False,0,38
c63c,0150,8817,8c23,False,-1,-12
8cbc,93e4,0005,0000,False,0,5
8a9c,aeb1,0162,0000,False,0,354
ce18,4690,d900,d8ff,False,0,1
51a0,14b0,2a98,2a97,False,0,1
16da,92b0,8017,8000,False,0,23
2b8c,b98a,a93a,a939,False,0,1
5a3f,beb8,dd3f,dd3e,False,0,1
437c,913e,98e8,98e7,False,0,1
3ec4,8560,888c,888b,False,0,1
e619,bd93,6840,683f,False,0,1
27a7,a623,91df,91de,False,0,1
9350,754a,ccd6,ccd5,False,0,1
77ed,a0d7,dccc,dccb,False,0,1
be06,4d6a,d014,d013,False,0,1
3f23,69fb,6d56,6d55,False,0,1
e0cb,1c14,c0e3,c0e2,False,0,1
4ea7,2dfe,40fc,40fb,False,0,1
8297,17ba,8001,8000,False,0,1
71d1,88f4,bf34,bf33,False,0,1
6a5a,a0ff,cfef,cfee,False,0,1
d48a,1348,ac22,ac21,False,0,1
8c70,9dfa,001b,0000,False,0,27
beef,7736,fa40,fa3f,False,0,1
3ad8,13b5,1298,1297,False,0,1
848b,39c6,8347,828e,False,0,185
706c,2bfe,606b,606a,False,0,1
8dbc,ab70,0155,0000,False,0,341
06f3,e8ac,b40f,b40e,False,0,1
19e0,3022,0e12,0e11,False,0,1
4010,fb68,fc00,ff85,False,0,-901
18b0,0dac,000d,0000,False,0,13
93cf,a28c,00cc,0000,False,0,204
41b7,2025,25ec,25eb,False,0,1
0420,45d6,0e05,0e04,False,0,1
f2ab,46ba,fc00,fd9b,False,0,-411
6fcc,0197,3233,3572,False,-1,193
164a,a0e5,80f6,8000,False,0,246
c830,0f26,9b7c,9b7b,False,0,1
e8b1,c600,730a,7309,False,0,1
2bba,301e,1ff4,1ff3,False,0,1
334a,db4f,d2a9,d2a8,False,0,1
1fd1,ce30,b20c,b20b,False,0,1
a53e,8af3,0049,0000,False,0,73
ccab,bc6f,4d2d,4d2c,False,0,1
3b4e,a5e4,a561,a560,False,0,1
28e7,8b09,808a,8000,False,0,138
56d1,1df3,3912,3911,False,0,1
cbdf,40b8,d0a5,d0a4,False,0,1
b017,b1a8,25c9,25c8,False,0,1
4e1f,6e9c,7c00,010e,False,31,-270
ed4f,3b3c,eccd,eccc,False,0,1
0001,fa9c,9a9c,be9d,False,-9,-1
0f2f,22cf,0062,0000,False,0,98
a960,4913,b6d2,b6d1,False,0,1
0074,a77c,8003,8000,False,0,3
49d0,df46,ed49,ed48,False,0,1
39a2,ac38,a9f1,a9f0,False,0,1
7265,88d4,bfb8,bfb7,False,0,1
1388,6e8a,4628,4627,False,0,1
04fc,1836,0003,0000,False,0,3
9a0c,14ee,803c,8000,False,0,60
9a6b,5f50,bdde,bddd,False,0,1
2ad2,1c3e,0b3c,0b3b,False,0,1
d5d1,5be4,f5bd,f5bc,False,0,1
830d,5303,9959,9a2e,False,0,-213
790e,03c1,40be,40e6,False,0,-40
c714,8930,1497,1496,False,0,1
b630,5a3f,d4d5,d4d4,False,0,1
9154,9eb7,0048,0000,False,0,72
a05b,0597,800c,8000,False,0,12
19fb,ed24,cbb0,cbaf,False,0,1
31a1,e36f,d93b,d93a,False,0,1
0c88,a6a2,8078,8000,False,0,120
c18b,cd87,53a9,53a8,False,0,1
c1a9,8570,0bb2,0bb1,False,0,1
14b6,99b5,8036,8000,False,0,54
33a8,813e,804c,8000,False,0,76
f92d,3df0,fbaf,fbae,False,0,1
26eb,0640,002b,0000,False,0,43
1d91,4ca5,2e77,2e76,False,0,1
88ce,2f8a,8122,8000,False,0,290
f782,2443,e000,dfff,False,1,-1023
c2b6,e93f,7067,7066,False,0,1
ae80,6841,daea,dae9,False,0,1
3efc,1dc2,2107,2106,False,0,1
076f,43a0,0f16,0f15,False,0,1
6632,5586,7c00,0047,False,31,-71
6d9b,4e66,7c00,007b,False,31,-123
43dc,c0f8,c8e2,c8e1,False,0,1
f084,aac0,5f9f,5f9e,False,0,1
b280,7652,ed23,ed22,False,0,1
6a94,91c3,c0bd,c0bc,False,0,1
bfd4,ee08,71e7,71e6,False,0,1
7946,1d23,5ac6,5ac5,False,0,1
6b02,958c,c4dc,c4db,False,0,1
84b5,3fe8,88a7,88a6,False,0,1
ac42,dc89,4cd4,4cd3,False,0,1
b324,48fc,c073,c072,False,0,1
0f66,2c1c,01e6,0000,False,0,486
a5b8,9d97,07fe,07fd,False,0,1
a6fc,9568,025c,0000,False,0,604
e62e,a5bc,506e,506d,False,0,1
6722,d528,fc00,8098,False,31,-152
c8bd,0e22,9b44,9b43,False,0,1
1b65,18ed,0092,0000,False,0,146
35e5,4450,3e5b,3e5a,False,0,1
c58b,3baf,c553,c552,False,0,1
ac2a,8e18,0196,0000,False,0,406
2008,ebe0,cff0,cfef,False,0,1
4a52,985e,a6e7,a6e6,False,0,1
2c25,3bdf,2c14,2c13,False,0,1
9ca6,0a1a,800e,8000,False,0,14
af00,ab14,1e32,1e31,False,0,1
bc40,706b,f0b2,f0b1,False,0,1
17c3,a580,82ab,8000,False,0,683
2485,2f08,17f2,17f1,False,0,1
85e0,1f40,800b,8000,False,0,11
09a5,d7a9,a568,a567,False,0,1
f9a5,9de8,5c2b,5c2a,False,0,1
b55b,fa50,743a,7439,False,0,1
4d63,2abf,3c8b,3c8a,False,0,1
1588,da32,b449,b448,False,0,1
083c,e80a,b447,b446,False,0,1
001d,b584,800a,8000,False,0,10
ac2e,2520,955b,955a,False,0,1
b24a,a24a,18f2,18f1,False,0,1
b7e6,f511,7101,7100,False,0,1
d82b,aaad,46f5,46f4,False,0,1
c0e7,8393,0861,08a4,False,0,-67
109e,4a25,1f18,1f17,False,0,1
3114,8f57,84a9,84a8,False,0,1
eab0,1374,c23b,c23a,False,0,1
ec5e,2c07,dc66,dc65,False,0,1
5fde,80c0,9de6,a4ab,False,-2,315
1a74,185f,0071,0000,False,0,113
d4d1,15b2,aedc,aedb,False,0,1
fb99,bd06,7c00,7cc5,False,0,-197
6158,334c,58e0,58df,False,0,1
0f7e,3d50,10fa,10f9,False,0,1
2212,1b72,02d3,0000,False,0,723
11ce,8fb9,8006,8000,False,0,6
4e0a,6fd0,7c00,01e5,False,31,-485
0b04,182a,0007,0000,False,0,7
c501,e057,696e,696d,False,0,1
b93c,6612,e3f2,e3f1,False,0,1
f003,3763,eb69,eb68,False,0,1
ad7e,1223,8437,8436,False,0,1
1105,958f,800e,8000,False,0,14
6f72,3768,6ae5,6ae4,False,0,1
2eb8,3848,2b31,2b30,False,0,1
381a,79f2,7619,7618,False,0,1
8d84,bf66,111a,1119,False,0,1
9a2d,bc77,1ae5,1ae4,False,0,1
9c87,16c7,807b,8000,False,0,123
9d74,8d88,001e,0000,False,0,30
e388,284c,d00c,d00b,False,0,1
b5fc,4146,bbe4,bbe3,False,0,1
f5d9,4387,fc00,fd80,False,0,-384
9eb8,83d2,0006,0000,False,0,6
bf57,0e81,91f8,91f7,False,0,1
2171,2210,0820,081f,False,0,1
8824,32fe,81cf,8000,False,0,463
3deb,8292,83ce,84dc,False,-1,754
addc,f1b3,642d,642c,False,0,1
83e2,e7fb,2fbf,2fdd,False,0,-30
a0fa,b454,1963,1962,False,0,1
6002,9b3b,bf3f,bf3e,False,0,1
dcf4,0c97,adaf,adae,False,0,1
43b0,92d0,9a8c,9a8b,False,0,1
7a3e,0a6b,4902,4901,False,0,1
10f3,0ed4,0004,0000,False,0,4
9240,b4fc,0bca,0bc9,False,0,1
d989,3514,d307,d306,False,0,1
24a9,b72e,a02f,a02e,False,0,1
d95c,8984,2764,2763,False,0,1
984a,d6a5,3320,331f,False,0,1
d987,33f4,d17f,d17e,False,0,1
8cdf,6598,b6d0,b6cf,False,0,1
aab2,1a60,8956,8955,False,0,1
42fd,6199,68e4,68e3,False,0,1
23a4,004b,0001,0000,False,0,1
3ed1,4115,4455,4454,False,0,1
ab22,59a0,c904,c903,False,0,1
8027,58cc,8dd9,9cfa,False,-4,223
ef14,c212,755f,755e,False,0,1
d5fe,ca57,64c0,64bf,False,0,1
a928,8680,0043,0000,False,0,67
f359,984c,4fe5,4fe4,False,0,1
f47e,986e,50fa,50f9,False,0,1
87c3,1c81,8009,8000,False,0,9
2675,7648,6112,6111,False,0,1
d164,1dba,b3b8,b3b7,False,0,1
dfe0,a8df,4ccc,4ccb,False,0,1
93a0,95d4,0016,0000,False,0,22
c746,8c08,1755,1754,False,0,1
4661,6d5e,7848,7847,False,0,1
e274,1ad0,c17f,c17e,False,0,1
43d5,3d42,4526,4525,False,0,1
f7c0,a3c6,5f88,5f87,False,0,1
1e55,7b7a,5deb,5dea,False,0,1
